Name," ""Year"""," ""Date Watched"""
The Aristocrats,2005,
Enron: The Smartest Guys in the Room,2005,
Anchorman: The Legend of Ron Burgundy,2004,
"Aviator, The",2004,
Before Sunset,2004,
"Bourne Supremacy, The",2004,
Closer,2004,
Collateral,2004,
Crash,2004,
Dodgeball: A True Underdog Story,2004,
Eternal Sunshine of the Spotless Mind,2004,
Friday Night Lights,2004,
Garden State,2004,
"Girl Next Door, The",2004,
Harold & Kumar: Go to White Castle,2004,
Harry Potter and the Prisoner of Azkaban,2004,
Hellboy,2004,
Hotel Rwanda,2004,
Howl's Moving Castle,2004,
"I, Robot",2004,
"Incredibles, The",2004,
Kill Bill: Vol. 2,2004,
Mean Girls,2004,
Meet the Fockers,2004,
Million Dollar Baby,2004,
Miracle,2004,
"Motorcycle Diaries, The",2004,
Napoleon Dynamite,2004,
Ocean's Twelve,2004,
Primer,2004,
"Punisher, The",2004,
Ray,2004,
Saved!,2004,
Shaun of the Dead,2004,
Shrek 2,2004,
Sideways,2004,
Sky Captain and the World of Tomorrow,2004,
Spanglish,2004,
Spider-Man 2,2004,
Team America: World Police,2004,
Win a Date with Tad Hamilton!,2004,
Farhenheit 9/11,2004,
Super Size Me,2004,
2 Fast 2 Furious,2003,
21 Grams,2003,
Bad Santa,2003,
Brother Bear,2003,
Bruce Almighty,2003,
Charlie's Angels: Full Throttle,2003,
Cold Mountain,2003,
Elf,2003,
Finding Nemo,2003,
House of Sand and Fog,2003,
How to Lose a Guy in 10 Days,2003,
Johnny English,2003,
Kill Bill: Vol. 1,2003,
"Last Samurai, The",2003,
"Lord of the Rings: The Return of the King, The",2003,
Lost in Translation,2003,
Master and Commander: The Far Side of the World,2003,
Matchstick Men,2003,
"Matrix Reloaded, The",2003,
"Matrix Revolutions, The",2003,
Mystic River,2003,
Old School,2003,
Oldboy,2003,
Once Upon a Time in Mexico,2003,
Peter Pan,2003,
Pirates of the Caribbean: The Curse of the Black Pearl,2003,
School of Rock,2003,
Seabiscuit,2003,
Thirteen,2003,
What a Girl Wants,2003,
X-Men 2: X-Men United,2003,
Big Fish,2003,
8 Mile,2002,
A Walk to Remember,2002,
Austin Powers in Goldmember,2002,
Bend It Like Beckham,2002,
"Bourne Identity, The",2002,
Catch Me If You Can,2002,
Chicago,2002,
City of God,2002,
Gangs of New York,2002,
Harry Potter and the Chamber of Secrets,2002,
"Hot Chick, The",2002,
Ice Age,2002,
Infernal Affairs,2002,
Die Another Day,2002,
John Q,2002,
"Lord of the Rings: The Two Towers, The",2002,
Maid in Manhattan,2002,
Men in Black II,2002,
Minority Report,2002,
My Big Fat Greek Wedding,2002,
"Pianist, The",2002,
Road to Perdition,2002,
Scooby-Doo,2002,
Snow Dogs,2002,
Solaris,2002,
Spider-Man,2002,
Star Wars: Episode II - Attack of the Clones,2002,
Sweet Home Alabama,2002,
Treasure Planet,2002,
Windtalkers,2002,
Bowling for Columbine,2002,
Jackass: The Movie,2002,
A Beautiful Mind,2001,
A Knight's Tale,2001,
A.I. Artificial Intelligence,2001,
Amélie,2001,
Black Hawk Down,2001,
Blow,2001,
Donnie Darko,2001,
"Fast and the Furious, The",2001,
Final Fantasy: The Spirits Within,2001,
Harry Potter and the Philosopher's Stone,2001,
I Am Sam,2001,
Jay and Silent Bob Strike Back,2001,
K-PAX,2001,
Lara Croft: Tomb Raider,2001,
Legally Blonde,2001,
"Lord of the Rings: The Fellowship of the Ring, The",2001,
"Monsters, Inc.",2001,
Moulin Rouge!,2001,
Mulholland Dr.,2001,
Not Another Teen Movie,2001,
Ocean's Eleven,2001,
Pearl Harbor,2001,
Planet of the Apes,2001,
"Royal Tenenbaums, The",2001,
Rush Hour 2,2001,
Shrek,2001,
Spirited Away,2001,
Swordfish,2001,
Training Day,2001,
Waking Life,2001,
Zoolander,2001,
"Crouching Tiger, Hidden Dragon",2001,
Battle Royale,2000,
Best in Show,2000,
Bring It On,2000,
Cast Away,2000,
Charlie's Angels,2000,
Chicken Run,2000,
Coyote Ugly,2000,
Dinosaur,2000,
"Dude, Where's My Car?",2000,
Erin Brockovich,2000,
Gone in Sixty Seconds,2000,
How the Grinch Stole Christmas,2000,
Little Nicky,2000,
"Me, Myself & Irene",2000,
Memento,2000,
Miss Congeniality,2000,
Mission: Impossible II,2000,
Requiem for a Dream,2000,
Romeo Must Die,2000,
"Emperor's New Groove, The",2000,
"Perfect Storm, The",2000,
Traffic,2000,
What Women Want,2000,
X-Men,2000,
10 Things I Hate About You,1999,
A Midsummer Night's Dream,1999,
American Beauty,1999,
American Pie,1999,
Austin Powers: The Spy Who Shagged Me,1999,
Big Daddy,1999,
"Boondock Saints, The",1999,
Deuce Bigalow: Male Gigolo,1999,
Dogma,1999,
Fight Club,1999,
"Green Mile, The",1999,
Inspector Gadget,1999,
"Iron Giant, The",1999,
Magnolia,1999,
"Matrix, The",1999,
"Mummy, The",1999,
Muppets from Space,1999,
Mystery Men,1999,
October Sky,1999,
Office Space,1999,
Runaway Bride,1999,
Sleepy Hollow,1999,
South Park: Bigger Longer & Uncut,1999,
Star Wars: Episode I - The Phantom Menace,1999,
Stuart Little,1999,
"Talented Mr. Ripley, The",1999,
Tarzan,1999,
Toy Story 2,1999,
"Virgin Suicides, The",1999,
"World Is Not Enough, The",1999,
A Bug's Life,1998,
A Night at the Roxbury,1998,
American History X,1998,
Antz,1998,
Armageddon,1998,
BASEketball,1998,
"Big Lebowski, The",1998,
Blues Brothers 2000,1998,
Deep Impact,1998,
Doctor Dolittle,1998,
Enemy of the State,1998,
Jack Frost,1998,
Lethal Weapon 4,1998,
Lost in Space,1998,
Madeline,1998,
"Man in the Iron Mask, The",1998,
"Mask of Zorro, The",1998,
Meet Joe Black,1998,
Mighty Joe Young,1998,
"Parent Trap, The",1998,
Patch Adams,1998,
Pi,1998,
Pleasantville,1998,
Pocket Monsters: Mewtwo Strikes Back!,1998,
"Prince of Egypt, The",1998,
"Rugrats Movie, The",1998,
Run Lola Run,1998,
Rush Hour,1998,
Rushmore,1998,
Saving Private Ryan,1998,
Shakespeare in Love,1998,
Small Soldiers,1998,
There's Something About Mary,1998,
"Thin Red Line, The",1998,
"Truman Show, The",1998,
U.S. Marshals,1998,
"Waterboy, The",1998,
"Wedding Singer, The",1998,
You've Got Mail,1998,
Air Bud,1997,
Air Force One,1997,
Anastasia,1997,
As Good as It Gets,1997,
Austin Powers: International Man of Mystery,1997,
Batman & Robin,1997,
Boogie Nights,1997,
Con Air,1997,
Contact,1997,
"Fifth Element, The",1997,
Flubber,1997,
"Full Monthy, The",1997,
Gattaca,1997,
George of the Jungle,1997,
Good Burger,1997,
Good Will Hunting,1997,
Hercules,1997,
Jackie Brown,1997,
Tomorrow Never Dies,1997,
Jungle 2 Jungle,1997,
Jurassic Park: The Lost World,1997,
L.A. Confidential,1997,
Liar Liar,1997,
Men in Black,1997,
Princess Mononoke,1997,
Speed 2: Cruise Control,1997,
Spice World,1997,
Titanic,1997,
Volcano,1997,
Mars Attacks!,1997,
101 Dalmatians,1996,
Beavis and Butt-Head Do America,1996,
Flipper,1996,
Happy Gilmore,1996,
Harriet the Spy,1996,
"Hunchback of Notre Dame, The",1996,
Independence Day,1996,
James and the Giant Peach,1996,
Jingle All the Way,1996,
Matilda,1996,
Mission: Impossible,1996,
"Nutty Professor, The",1996,
Romeo + Juliet,1996,
Space Jam,1996,
Trainspotting,1996,
Twister,1996,
A Goofy Movie,1995,
Ace Ventura: When Nature Calls,1995,
Apollo 13,1995,
Babe,1995,
Bad Boys,1995,
Balto,1995,
Batman Forever,1995,
Before Sunrise,1995,
Casper,1995,
Ghost in the Shell,1995,
Hackers,1995,
GoldenEye,1995,
Jumanji,1995,
Mighty Morphin Power Rangers: The Movie,1995,
Mortal Kombat,1995,
Pocahontas,1995,
Se7en,1995,
Toy Story,1995,
"Usual Suspects, The",1995,
Ace Ventura: Pet Detective,1994,
Angels in the Outfield,1994,
Clerks,1994,
"Flintstones, The",1994,
Forrest Gump,1994,
"Lion King, The",1994,
"Little Rascals, The",1994,
"Mask, The",1994,
Pulp Fiction,1994,
Quiz Show,1994,
"Santa Clause, The",1994,
"Shawshank Redemption, The",1994,
Speed,1994,
Demolition Man,1993,
Free Willy,1993,
"Fugative, The",1993,
Jurassic Park,1993,
Mrs. Doubtfire,1993,
"Nightmare Before Christmas, The",1993,
Schindler's List,1993,
Super Mario Bros.,1993,
Aladdin,1992,
Batman Returns,1992,
Beethoven,1992,
Porco Rosso,1992,
Reservoir Dogs,1992,
"Mighty Ducks, The",1992,
"Muppet Christmas Carol, The",1992,
Wayne's World,1992,
"Addams Family, The",1991,
Beauty and the Beast,1991,
Hook,1991,
JFK,1991,
"Silence of the Lambs, The",1991,
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,
Back to the Future Part III,1990,
Goodfellas,1990,
Home Alone,1990,
"Hunt for Red October, The",1990,
Kindergarten Cop,1990,
Rosencrantz & Guildenstern Are Dead,1990,
Teenage Mutant Ninja Turtles,1990,
Back to the Future Part II,1989,
Batman,1989,
Bill and Ted's Excellent Adventure,1989,
Driving Miss Daisy,1989,
Glory,1989,
"Honey, I Shrunk the Kids",1989,
Indiana Jones and the Last Cruisade,1989,
License to Kill,1989,
Say Anything...,1989,
The Little Mermaid,1989,
Weekend at Bernie's,1989,
Grave of the Fireflies,1988,
Rain Man,1988,
The Thin Blue Line,1988,
Full Metal Jacket,1987,
Lethal Weapon,1987,
Spaceballs,1987,
"Lost Boys, The",1987,
"Princess Bride, The",1987,
"Untouchables, The",1987,
Wall Street,1987,
Ferris Bueller's Day Off,1986,
Little Shop of Horrors,1986,
Platoon,1986,
Top Gun,1986,
A View To Kill,1985,
Back to the Future,1985,
Brazil,1985,
The Goonies,1985,
The Goonies,1985,
Beverly Hills Cop,1984,
Ghostbusters,1984,
Indiana Jones and the Temple of Doom,1984,
Sixteen Candles,1984,
The Karate Kid,1984,
This Is Spinal Tap,1984,
Scarface,1983,
Star Wars Episode VI: Return of the Jedi,1983,
The Meaning of Life,1983,
Trading Places,1983,
Blade Runner,1982,
E.T. the Extra-Terrestrial,1982,
TRON,1982,
Koyaanisqatsi,1982,
Indiana Jones and the Raiders of the Lost Arch,1981,
Mad Max 2: The Road Warrior,1981,
Airplane!,1980,
Caddyshack,1980,
Star Wars Episode V: The Empire Strikes Back,1980,
The Blues Brothers,1980,
Grease,1978,
Star Wars: Episode IV - A New Hope,1977,
Monty Python and the Holy Grail,1975,
One Flew Over the Cuckoo's Nest,1975,
The Godfather,1972,
THX 1138,1971,
Planet of the Apes,1968,
"To Sir, with Love",1967,
Fail-Safe,1964,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,
Lord of the Flies,1963,
To Kill a Mockingbird,1962,
101 Dalmatians,1961,
Lady and the Tramp,1955,
Marty,1955,
Peter Pan,1953,
Alice in Wonderland,1951,
Scrooge,1951,
Dumbo,1941,
Pinocchio,1940,
The Wizard of Oz,1939,
Snow White and the Seven Dwarfs,1937,
